"lon","lat","presAbs"
-110.429449,40.540642,0
-110.429449,40.540642,1
-112.638471,37.399946,0
-111.750438,39.258745,0
-109.980979,37.535764,0
-111.410422,39.890467,0
-111.410422,39.890467,1
-111.394942,38.083035,0
-110.779084,38.040835,0
-111.793917,37.718322,0
-111.169208,39.347993,0
-111.169208,39.347993,1
-111.574332,39.889402,0
-110.708703,38.852815,0
-112.868591,39.826749,0
-113.88227,37.423506,0
-111.626738,37.495057,0
-111.772067,41.058686,0
-111.208426,38.020437,0
-110.945884,40.786694,0
-111.173841,40.111613,0
-112.640198,40.188427,0
-111.289643,39.482473,0
-110.878086,40.51724,0
-110.878086,40.51724,1
-112.517633,40.194215,0
-111.937179,38.558818,0
-111.48693,37.564744,0
-113.6623,37.561749,0
-110.602667,38.803476,0
-112.648492,40.366813,0
-111.332531,39.819932,0
-114.005244,37.372903,0
-110.825259,39.706449,0
-111.646928,40.647313,0
-110.482157,40.518144,0
-110.482157,40.518144,1
-113.974021,38.268014,0
-111.631356,39.210766,0
-111.818365,39.342743,0
-111.581661,39.119738,0
-112.149083,41.952274,0
-110.356648,39.92597,0
-110.241646,40.017885,0
-111.284072,37.858562,0
-112.798951,37.520438,0
-110.147977,38.130942,0
-111.706087,39.659304,0
-111.353704,39.978057,0
-113.365959,37.299652,0
-112.18514,37.222404,0
-111.783284,41.464968,0
-110.883028,38.669393,0
-111.052982,39.662652,0
-111.235562,39.033746,0
-109.435708,39.473865,0
-112.720773,38.388783,0
-113.371438,37.523574,0
-110.800679,37.969706,0
-109.217689,39.854821,0
-111.587137,39.663109,0
-110.203038,37.852123,0
-109.281349,40.863842,0
-111.513609,38.039349,1
-111.513609,38.039349,0
-111.401624,38.717664,0
-112.069378,38.561682,0
-112.069378,38.561682,1
-109.052955,40.503017,0
-113.798542,37.538208,0
-112.979182,37.664541,0
-111.227941,39.118562,0
-112.879905,37.801475,0
-111.227818,39.617149,0
-112.108292,39.611055,0
-110.844658,39.247286,0
-110.304132,39.612256,0
-110.853483,40.183348,0
-109.101894,38.566046,0
-112.033625,37.905812,0
-110.248105,39.521056,0
-111.662567,39.868545,0
-111.181921,40.02449,0
-111.319323,40.307458,0
-111.319323,40.307458,1
-109.94271,40.96765,0
-109.94271,40.96765,1
-110.420743,39.616439,0
-110.136306,39.389052,0
-110.295772,40.744807,0
-109.218965,38.788615,0
-109.361413,38.554477,0
-113.702494,38.636653,0
-112.522641,39.963454,0
-112.640025,37.931764,0
-113.762451,37.37918,0
-109.210995,37.597308,0
-111.406845,39.390846,0
-111.406845,39.390846,1
-111.423084,41.688666,0
-111.423084,41.688666,1
-110.936655,39.752439,0
-110.936655,39.752439,1
-109.644306,37.54056,0
-111.355651,40.198643,0
-113.439657,37.789068,0
-113.313296,40.149053,0
-113.629086,38.141766,0
-110.529382,40.334926,0
-109.996572,40.471767,0
-110.800225,40.635227,0
-111.535112,39.437554,0
-110.716401,37.994928,0
-112.228667,39.922319,0
-113.990739,38.450616,0
-112.110427,39.947252,0
-109.095267,38.890108,0
-112.349812,37.085643,0
-113.146427,37.343019,0
-110.075331,37.745595,0
-110.976824,40.266751,0
-111.657446,38.999472,0
-111.54125,41.777667,0
-111.54125,41.777667,1
-109.586475,40.598543,0
-111.47564,40.200088,0
-113.870027,40.123609,0
-113.179596,41.874107,0
-112.525551,38.276387,0
-109.878431,40.916846,0
-112.078951,37.452275,0
-112.044436,39.699329,0
-110.361304,39.434843,0
-111.524697,38.268961,0
-111.858214,38.752603,0
-111.088039,39.730641,0
-111.088039,39.730641,1
-111.835144,41.411875,0
-113.456917,39.8157,0
-112.588263,40.145421,0
-110.93591,40.521985,0
-112.941059,38.021061,0
-112.782815,38.395107,0
-111.502787,38.965009,0
-114.027927,38.455994,0
-110.634799,38.823591,0
-109.305319,37.396607,0
-113.531552,41.88902,0
-111.69441,39.386104,0
-111.573912,37.945918,0
-111.789977,37.493162,0
-111.521915,38.443238,0
-111.521915,38.443238,1
-112.631625,37.584684,0
-112.631625,37.584684,1
-112.471651,37.219449,0
-110.650163,40.565784,0
-110.650163,40.565784,1
-112.223908,41.785073,0
-110.15354,37.62994,0
-112.882854,38.338712,0
-110.183042,39.750845,0
-111.74474,37.720493,0
-113.579934,38.418784,0
-113.383977,37.653066,0
