"PLOT","presAbs","lon","lat"
80348,0,-110.410177,40.744325
80350,0,-112.74023,37.037257
80352,0,-114.021741,41.151718
80353,0,-110.708795,40.83536
80354,0,-111.413896,41.009423
80356,0,-111.120289,39.930705
80357,0,-112.663107,37.382975
80358,0,-112.192671,37.407414
80363,0,-111.741626,38.536295
80363,1,-111.741626,38.536295
80364,0,-109.106935,38.475259
80375,0,-109.670775,39.157673
80376,0,-110.2127,39.182245
80379,0,-112.989154,37.343834
80380,0,-109.123576,37.979465
80385,0,-111.62466,37.451601
80388,0,-111.843909,37.313022
80390,0,-112.450205,37.004516
80391,0,-111.348223,37.859063
80395,0,-109.797863,38.484246
80399,0,-114.001811,38.069058
80402,0,-110.167932,40.595697
80403,0,-112.148436,38.532791
80404,0,-110.597471,39.842679
80405,0,-112.794461,37.079671
80416,0,-111.301355,40.967594
80416,1,-111.301355,40.967594
80417,0,-111.231265,39.478356
80417,1,-111.231265,39.478356
80419,0,-111.40872,39.800786
80420,0,-112.172816,39.791692
80423,0,-111.17405,40.517311
80426,0,-112.246896,37.315634
80427,0,-111.990316,39.79214
80430,0,-110.635678,40.871988
80434,0,-113.90971,37.95546
80437,1,-111.89466,38.156259
80437,0,-111.89466,38.156259
80439,0,-112.054078,39.926592
80440,0,-112.690129,41.942554
80441,0,-113.540325,38.95939
80443,0,-112.383193,38.801827
80449,0,-111.288826,38.940729
80454,0,-109.269585,37.606851
80455,0,-112.131989,37.758979
80459,0,-113.726353,41.498335
80465,0,-109.133225,37.526644
80468,0,-110.264123,37.671657
80469,0,-111.614822,40.721273
80469,1,-111.614822,40.721273
80475,0,-109.807861,40.726821
80484,0,-112.139615,38.033594
80488,0,-113.570818,38.145978
80490,0,-112.358286,37.222401
80491,0,-110.881037,39.977473
80492,0,-110.655179,39.931486
80497,0,-109.35742,39.699115
80498,0,-112.753183,37.391763
80504,0,-109.181602,37.66523
80506,0,-113.944172,37.508025
80507,0,-111.260591,38.959429
80519,0,-113.373265,39.184101
80523,0,-110.534142,39.657815
80530,0,-112.110419,39.841157
80533,0,-112.016707,37.718885
80535,0,-112.277282,39.161526
80537,0,-110.063158,39.667798
80539,0,-109.644761,40.642409
80539,1,-109.644761,40.642409
80544,0,-112.074997,37.49481
80546,0,-112.674029,37.83597
80549,0,-113.836751,37.599032
80551,0,-113.877888,40.165976
80552,0,-109.314793,39.556955
80558,0,-111.538084,41.461253
80558,1,-111.538084,41.461253
80560,0,-110.351083,39.881611
80566,0,-110.034205,40.57608
80566,1,-110.034205,40.57608
80567,0,-110.429449,40.540642
80567,1,-110.429449,40.540642
80569,0,-112.638471,37.399946
80572,0,-111.750438,39.258745
80574,0,-109.980979,37.535764
80575,0,-111.410422,39.890467
80575,1,-111.410422,39.890467
80578,0,-111.394942,38.083035
80579,0,-110.779084,38.040835
80581,0,-111.793917,37.718322
80582,0,-111.169208,39.347993
80582,1,-111.169208,39.347993
80585,0,-111.574332,39.889402
80588,0,-110.708703,38.852815
80589,0,-112.868591,39.826749
80596,0,-113.88227,37.423506
80598,0,-111.626738,37.495057
80600,0,-111.772067,41.058686
80602,0,-111.208426,38.020437
80608,0,-110.945884,40.786694
80609,0,-111.173841,40.111613
80611,0,-112.640198,40.188427
80614,0,-111.289643,39.482473
80616,0,-110.878086,40.51724
80616,1,-110.878086,40.51724
80619,0,-112.517633,40.194215
80623,0,-111.937179,38.558818
80624,0,-111.48693,37.564744
80626,0,-113.6623,37.561749
80627,0,-110.602667,38.803476
